school_name,division,conference,city,state,player_name,position,year,graduation_year
California State University - Long Beach,NCAA Division I,Big West Conference,Long Beach,California,Jackson Cryst,MB,Freshman,2029
California State University - Long Beach,NCAA Division I,Big West Conference,Long Beach,California,Myles Jordan,OH,Freshman,2029
California State University - Long Beach,NCAA Division I,Big West Conference,Long Beach,California,Skyler Varga,OH,Senior,2026
California State University - Long Beach,NCAA Division I,Big West Conference,Long Beach,California,Isaiah Preuitt,MB,Sophomore,2028
California State University - Long Beach,NCAA Division I,Big West Conference,Long Beach,California,Ben Braun,MB,Senior,2026
California State University - Long Beach,NCAA Division I,Big West Conference,Long Beach,California,Jette Estes,OH,Redshirt Freshman,2029
California State University - Long Beach,NCAA Division I,Big West Conference,Long Beach,California,Connor Bloom,OH/OPP,Senior,2026
California State University - Long Beach,NCAA Division I,Big West Conference,Long Beach,California,Kellen Larson,L,Sophomore,2028
California State University - Long Beach,NCAA Division I,Big West Conference,Long Beach,California,Alex Kandev,OH,Sophomore,2028
California State University - Long Beach,NCAA Division I,Big West Conference,Long Beach,California,Island Doty,S,Senior,2026
California State University - Long Beach,NCAA Division I,Big West Conference,Long Beach,California,Dane Hillis,OH,Senior,2026
California State University - Long Beach,NCAA Division I,Big West Conference,Long Beach,California,Braedon Marquardt,MB,Sophomore,2028
California State University - Long Beach,NCAA Division I,Big West Conference,Long Beach,California,Ryan Peluso,OPP/S,Junior,2027
California State University - Long Beach,NCAA Division I,Big West Conference,Long Beach,California,Jake Pazanti,S,Redshirt Freshman,2029
California State University - Long Beach,NCAA Division I,Big West Conference,Long Beach,California,Daniil Hershtynovich,OPP,Junior,2027
California State University - Long Beach,NCAA Division I,Big West Conference,Long Beach,California,Nate Baddeley,OH,Sophomore,2028
California State University - Long Beach,NCAA Division I,Big West Conference,Long Beach,California,Wojciech Gajek,OPP,Freshman,2029
California State University - Northridge,NCAA Division I,Big West Conference,Northridge,California,Stilian Delibosov,MB,Sophomore,2028
California State University - Northridge,NCAA Division I,Big West Conference,Northridge,California,Jordan Lucas,OH,Redshirt Junior,2027
California State University - Northridge,NCAA Division I,Big West Conference,Northridge,California,Benjamin Cohen,L,Redshirt Sophomore,2028
California State University - Northridge,NCAA Division I,Big West Conference,Northridge,California,Malcolm King,MB,Redshirt Junior,2027
California State University - Northridge,NCAA Division I,Big West Conference,Northridge,California,Joao Avila,OH,Sophomore,2028
California State University - Northridge,NCAA Division I,Big West Conference,Northridge,California,Hank Kaufman,OH,Redshirt Sophomore,2028
California State University - Northridge,NCAA Division I,Big West Conference,Northridge,California,Logan Spencer,S,Redshirt Freshman,2029
California State University - Northridge,NCAA Division I,Big West Conference,Northridge,California,Chris Karnezis,L,Redshirt Junior,2027
California State University - Northridge,NCAA Division I,Big West Conference,Northridge,California,Shane Nhem,MB,Senior,2026
California State University - Northridge,NCAA Division I,Big West Conference,Northridge,California,Owen Douphner,S,Redshirt Sophomore,2028
California State University - Northridge,NCAA Division I,Big West Conference,Northridge,California,Kingston Jerome,S,Freshman,2029
California State University - Northridge,NCAA Division I,Big West Conference,Northridge,California,Boaz Serson,OH,Sophomore,2028
California State University - Northridge,NCAA Division I,Big West Conference,Northridge,California,Santiago Mendoza,OH,Redshirt Junior,2027
California State University - Northridge,NCAA Division I,Big West Conference,Northridge,California,Niall Finnegan,MB,Redshirt Junior,2027
California State University - Northridge,NCAA Division I,Big West Conference,Northridge,California,Nir Eitan,MB,Junior,2027
California State University - Northridge,NCAA Division I,Big West Conference,Northridge,California,Joel Eanes,OPP,Freshman,2029
California State University - Northridge,NCAA Division I,Big West Conference,Northridge,California,Jalen Phillips,OPP,Redshirt Junior,2027
California State University - Northridge,NCAA Division I,Big West Conference,Northridge,California,Joao Favarim,MB,Sophomore,2028
California State University - Northridge,NCAA Division I,Big West Conference,Northridge,California,Noah Douphner,OH,Freshman,2029
